2025-08-19T14:36:26.967Z | 14186780-bedbc505 | search-starbucks | PASS | 183.3ms | null | 0 items
2025-08-19T14:38:37.912Z | 14186780-bedbc505 | search-starbucks | PASS | 139.6ms | null | 0 items
2025-08-19T14:38:38.807Z | 14186780-bedbc505 | search-starbucks | PASS | 19.6ms | null | 0 items
2025-08-19T14:38:39.343Z | 14186780-bedbc505 | search-starbucks | PASS | 22.9ms | null | 0 items
2025-08-19T14:38:39.721Z | 14186780-bedbc505 | search-starbucks | PASS | 18.4ms | null | 0 items
2025-08-19T14:38:51.551Z | 14186780-bedbc505 | search-starbucks | PASS | 13.4ms | null | 0 items
2025-08-19T14:41:12.003Z | 14470993-72459c21 | search-starbucks | PASS | 995.4ms | null | 0 items
2025-08-19T14:46:05.452Z | 14764714-e599576b | search-starbucks | PASS | 732.7ms | null | 0 items
2025-08-19T14:46:17.723Z | 14764714-e599576b | search-starbucks | PASS | 39.2ms | null | 0 items
2025-08-19T14:46:32.521Z | 14792469-557a1861 | search-starbucks | PASS | 47.8ms | null | 0 items
